Order	Family	Genus	Species	Ts_rep_1	Te_rep_1	Ts_rep_2	Te_rep_2	Ts_rep_3	Te_rep_3	Ts_rep_4	Te_rep_4	Ts_rep_5	Te_rep_5	Ts_rep_6	Te_rep_6	Ts_rep_7	Te_rep_7	Ts_rep_8	Te_rep_8	Ts_rep_9	Te_rep_9	Ts_rep_10	Te_rep_10	Ts_rep_11	Te_rep_11	Ts_rep_12	Te_rep_12	Ts_rep_13	Te_rep_13	Ts_rep_14	Te_rep_14	Ts_rep_15	Te_rep_15	Ts_rep_16	Te_rep_16	Ts_rep_17	Te_rep_17	Ts_rep_18	Te_rep_18	Ts_rep_19	Te_rep_19	Ts_rep_20	Te_rep_20
Squaliformes	Dalatiidae	Hessinodon	Hessinodon_wardi	77.8529881821382	74.5410754976295	74.7450902037649	72.8784781773459	74.8814205858346	73.2281150622724	77.5588219547594	74.4341768923827	75.1338165516702	73.6159864238182	75.7047830503164	73.8601279265653	75.849882770515	73.9616640743807	74.1709933018585	72.5099601090832	75.1074239458115	72.5464836476397	76.2886692593188	74.170873740832	75.6600422877115	73.6278306331622	75.5615395112986	72.5499071192757	75.4132645068566	73.8937485076067	73.8981260638703	71.9383392093334	74.9178850162833	73.1283379434083	76.1483497143123	74.1756542124155	73.2987150999688	71.8265608841512	74.2880730729698	72.0847024568104	77.0709741643597	74.2560726166641	74.9008592517942	73.2854498101631
Squaliformes	Etmopteridae	Incognitorapax	Incognitorapax_fernsebneri	68.3772481881231	64.5164959926459	67.5749631675996	63.7304078803132	67.823504107463	63.464657230496	68.0350372720477	64.2208590270383	70.1893330894559	60.3757474474709	70.1306795748991	62.7776736442942	70.5139765912427	64.6658067152413	70.9408543988242	63.4448279518733	69.4371215197618	64.7104814294997	71.2921383194464	64.2746689459015	70.1874271496761	64.33170124172	70.8444657323096	64.3790146892793	68.4770959952565	62.3994235646119	67.2004942730005	63.0311137859568	68.4254877952099	61.1488224985423	68.0982868498888	61.7452495305688	69.7801986358839	61.6076240842173	71.382366695792	60.5620804728698	70.5756124590515	64.3904457164396	69.010573541978	64.9671816264063
Squaliformes	Etmopteridae	Incognitorapax	Incognitorapax_sp.-nov.	82.9488621150638	81.1300998398956	84.2010290746627	82.7222569311292	84.1327876807922	82.6328522871933	82.5314226302141	80.8158798970585	82.5239097222416	80.8412706162906	82.2294484599734	80.4504609392234	82.4329411301605	80.6919680663378	83.8612976000011	82.2070923997887	83.8841240926226	82.3913363272146	82.8289623145182	81.1768952376908	84.3804510575735	82.3326804357323	83.8024371167741	81.8848227994254	84.2860851190875	82.9651070158051	81.9744487446229	80.6186131010057	84.3361764890113	82.465982617829	82.6234514048761	81.0990662960844	84.184990357848	82.3596774038485	84.0852941635035	82.2093860290829	82.9442668271169	81.2807927671507	82.3527495580416	81.1580592602054
Squaliformes	Dalatiidae	Isistius	Isistius_exiguus	8.33971244955547	6.36171744839106	8.17866202291334	6.23186198091215	61.5685431190834	60.5015970229758	32.8550233019797	32.2478905723179	44.5924734435329	42.5033449112813	64.7157430226277	63.5181764436428	5.88944258743075	3.22547713375151	7.28915204018085	4.99111639001481	49.1883448922692	46.0698675008447	45.3825511232926	42.3274156358014	23.9286625932625	22.0981965447063	1.0779724042717	0.0517182054523081	48.2139133503085	45.132464002388	65.6521819926849	64.1645283603255	7.17172803923027	4.74133842973011	63.4972971738083	62.442676516108	35.9220180817463	34.9745302192607	55.8329745401813	54.2488708107742	26.2063127174725	24.6681670040324	62.7848315320154	61.5385310122204
Squaliformes	Dalatiidae	Isistius	Isistius_triangulus	21.0707339290002	2.75023293787206	20.3727200705754	1.83405079077788	21.056578757684	2.26784578038108	20.862587650395	3.92795601624342	21.4371794894553	3.29661349457873	20.7379115329879	3.57768442316057	20.8281874044821	3.34824061044508	21.0242044170179	2.03059798998149	20.4950537362573	2.44629568309604	21.2592483921372	1.81726926032232	21.0081250832833	2.84723156871681	20.7910414764711	2.29846324885541	20.9552796090319	4.02598757121356	20.865591941311	2.39228649781938	19.3991507081639	2.19567351272339	20.2490208650432	3.3157553978024	20.3091754641341	3.63962404325342	21.3745773019206	2.94023543027702	21.1481960875106	3.40532377397502	20.9786821123441	3.37271461874398
Squaliformes	Dalatiidae	Isistius	Isistius_trituratus	57.8542843148314	34.6538504445071	59.3811775641193	34.8439802970006	59.610227095036	34.14460235099	56.8187827137664	35.9663819058126	57.9925196151849	34.871384956972	58.0393427647446	33.7341181080712	59.1041814482794	34.7365397072042	57.0883514586301	36.0893615491993	56.8402307692008	36.1640650973403	57.6981701416261	36.9227805185567	58.3858894860637	34.1522226584864	57.5305875987698	34.1009904122895	58.0750526326396	35.7360335899193	57.3846966779625	36.6766770080365	56.8296422063777	34.2627299924055	59.6539307080009	33.6914251375331	58.0369003050356	34.1730868259538	58.3647799363675	33.4871982620993	57.1398287263169	35.1222724818617	58.8622745291656	36.7538449846452
Squaliformes	Squalidae	Megasqualus	Megasqualus_orpiensis	65.3616983525088	44.7482799862016	62.919072103386	48.31803559203	65.088617311141	45.3419554797853	62.8612086890546	47.7788615730616	65.8312867254262	46.2846987507349	63.4637874712777	47.2688385902687	64.4023408953584	52.9570155762005	66.9091287410292	46.8242668312689	64.2536482636908	52.7192711553868	67.0335062170496	47.0291190088975	66.5650193612149	45.6827827363552	66.1903212101617	46.2666691820337	65.6406723293174	46.0008364948666	66.7462960380361	45.3055857659737	66.2947269473183	45.2185364569881	64.107671166701	50.4111996680491	63.026207324726	47.5981677566649	63.3178491823619	50.6527581651805	65.3170721850243	44.7457964477006	66.943896148082	49.6225303646459
Squaliformes	Etmopteridae	Microetmopterus	Microetmopterus_wardi	71.402557369573	69.802114168172	69.1990000043769	68.1239385784076	69.6251006141274	68.0678322171531	68.4014190118481	67.3236071671361	70.4475749106277	69.155022196958	68.6791926565291	67.1486441747069	72.7506984792954	70.9456638118468	71.4944368599463	69.9763384702887	70.7127219802906	69.451405646138	67.171190764277	65.8919367410283	68.4999745281515	67.1902276394946	67.554621914703	66.3083855391105	69.3868405955371	68.0422326199758	71.5785052605221	69.8264272837415	68.7293519182385	67.4194708577717	71.9460995877306	70.3353615900048	67.2504400163449	65.7576638104726	70.6175489531014	69.0930219689134	69.0552113874681	67.4947363345766	72.4045202275919	70.7949180336911
Squaliformes	Dalatiidae	Oligodalatias	Oligodalatias_jordani	31.5168089499959	28.3310575563972	34.0337569655567	27.105716711563	33.141151899538	29.7750884532236	30.7314007787833	26.8946644048684	33.525318427881	28.9132667411213	34.3460804700389	26.4388324820053	32.9430051490072	29.6154166237363	33.1639144043285	26.5678388918289	32.1051234565188	27.0709479286621	34.565967703011	28.8794999312948	34.4708175932953	32.4593507264183	30.3453805322571	27.1674118669425	30.9331552429865	28.7791552001625	33.0409510664715	29.6220369514279	32.5463256704075	27.3987429879301	32.6916836330394	26.2862560574144	31.1408229193859	27.0897721378008	31.8311466969697	29.6552430357962	34.4803718374147	32.5656225483889	32.398699950214	29.1488505831527
Squaliformes	Oxynotidae	Oxynotus	Oxynotus_centrina	6.22901178141208	0	6.63762669475351	0	6.6671335561693	0	6.08515688843557	0	6.48763056386161	0	6.53755131899491	0	6.55361336572423	0	6.36447266264287	0	6.68351471069909	0	6.67772576415986	0	6.46926510139927	0	6.51384781225617	0	6.55724022247228	0	6.24260636807642	0	6.2190059886872	0	6.35913060498271	0	6.6829898128821	0	6.28389180205794	0	6.51618483083936	0	6.38710993915725	0
