Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Etmopteridae	Etmopterus	Etmopterus alphus	Extant	39	Yes	Photophore	D	Ebert et al. (2016)	Ebert et al. (2016)	Ebert et al. (2016)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus bigelowi	Extant	67	Yes	Light	D	Shirai & Tachikawa (1993)	Shirai & Tachikawa (1993)	Shirai & Tachikawa (1993)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus brachyurus	Extant	52	Yes	Light	D	Oñate & Pequeño (2005)	Oñate & Pequeño (2005) ; Ceccarelli et al. (2014)	Mizuno et al. (2021)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus brosei	Extant	51	Yes	Photophore	D	Ebert et al. (2021b)	Ebert et al. (2021b)	Ebert et al. (2021b)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus bullisi	Extant	30	Yes	Photophore	D	Ebert et al. (2021a)	Kirlay et al. (2003)	Bigelow et al. (1953)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus burgessi	Extant	41	NA	NA	D	Schaaf-Da Silva & Ebert (2006)	Schaaf-Da Silva & Ebert (2006)	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus cahuzaci	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus carteri	Extant	21	Yes	Photophore	D	Springer & Burgess (1985)	Springer & Burgess (1985)	Springer & Burgess (1985)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus caudistigmus	Extant	34	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002)	Last et al. (2002)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus compagnoi	Extant	67	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Ebert (2015)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus decacuspidatus	Extant	29	NA	NA	D	Chan (1966)	Chan (1966)	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus dianthus	Extant	41	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002); Ceccarelli et al. (2014)	Last et al. (2002)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus dislineatus	Extant	45	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002)	Last et al. (2002); White et al. (2017a)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus evansi	Extant	30	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002)	Last et al. (2002); White et al. (2017a)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus fusus	Extant	29	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002)	Last et al. (2002)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus gracilispinis	Extant	33	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Ebert & Stehmann (2013)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus granulosus	Extant	102	Yes	Light	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Mallefet et al. (2021)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus hillianus	Extant	30	Yes	Photophore	D	Ebert et al. (2021a)	Bunkley-Williams & Williams (2004)	Ebert & Stehmann (2013)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus lailae	Extant	37	Yes	Photophore	D	Ebert et al. (2017)	Ebert et al. (2017)	Ebert et al. (2017)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus ledouxi-n-nud	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus litvinovi	Extant	61	No	Photophore	D	Kotlyar (1990); Vásquez et al. (2015)	Kotlyar (1990); Vásquez et al. (2015)	Vásquez, Ebert & Long, (2015)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus lucifer	Extant	47	Yes	Light	D	Ebert et al. (2021a)	Dunn et al. (2013); Ceccarelli et al. (2014)	Mallefet et al. (2021)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus marshae	Extant	23	Yes	Photophore	D	Ebert & Van Hees (2018)	Ebert & Van Hees (2018)	Ebert & Van Hees (2018)
