Order	Family	Genus	Species	Ts	Te	Ts_sd	Te_sd
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias_weltoni	49.3507204240941	38.6240031216727	0.519646973396131	0.828372224488044
Squaliformes	Dalatiidae	Squaliolus	Squaliolus_gasconensis	45.4676123622365	39.0865274150951	0.428459184718124	0.943946401494212
Squaliformes	Dalatiidae	Squaliolus	Squaliolus_schaubi	29.648072087522	12.8227369244841	3.07098349570661	0.683404760627764
Squaliformes	Squalidae	Squalus	Squalus_acanthias	6.18836964200494	0	0.222902535495864	0
Squaliformes	Squalidae	Squalus	Squalus_almeidae	14.0083027711518	11.9228862988663	0.794792473300838	0.539394415628237
Squaliformes	Squalidae	Squalus	Squalus_argentinensis	68.7905248922095	67.396810362181	1.38761229393867	1.27946997717342
Squaliformes	Squalidae	Squalus	Squalus_ballingsloevensis	76.0729972921291	68.1523044807989	1.37920846955069	1.8199161541583
Squaliformes	Squalidae	Squalus	Squalus_balsvikensis	75.6256278357572	73.5048260563693	1.26359930108671	0.902903135907957
Squaliformes	Squalidae	Squalus	Squalus_blainvillei	6.43889344930772	0	0.231140623521717	0
Squaliformes	Squalidae	Squalus	Squalus_crenatidens	66.6291134055083	48.4240963795718	0.565582781360691	2.92649787595835
Squaliformes	Squalidae	Squalus	Squalus_depauwi	33.7479398426543	13.83049849034	0.750445087552983	0.579276975002834
Squaliformes	Squalidae	Squalus	Squalus_gabrielsoni	69.758647218918	61.4987001451223	1.6776622164248	0.444614411884972
Squaliformes	Squalidae	Squalus	Squalus_huntensis	69.9637163834378	66.282531658632	1.68286545379803	0.849466540886119
Squaliformes	Squalidae	Squalus	Squalus_minor	65.2232915490256	41.1177900934187	1.3348414650827	1.32202642026801
Squaliformes	Squalidae	Squalus	Squalus_nicholsae	75.8506604867549	73.5407633892032	1.51185392554944	1.09842034469459
Squaliformes	Squalidae	Squalus	Squalus_occidentalis	19.1396411664027	2.35492304926347	4.57437347089856	0.558444851082376
Squaliformes	Squalidae	Squalus	Squalus_smithi	53.1547909484048	49.9484893542691	1.39001696372532	1.45635155519547
Squaliformes	Squalidae	Squalus	Squalus_suckleyi	3.74468213825601	0	1.0754031689014	0
Squaliformes	Squalidae	Squalus	Squalus_volgensis	64.8236587669138	63.4512522064804	1.47383212194102	1.32641082832941
Squaliformes	Squalidae	Squalus	Squalus_vondermarcki	83.2681476640815	69.1056766299535	0.918412135847059	1.66426452259824
Squaliformes	Squalidae	Squalus	Squalus_weltoni	53.8072359148039	40.0137727926281	0.436594303639792	0.374954497748928
Squaliformes	Squalidae	Squalus	Squalus_woodburnei	53.7700029374549	39.9140985872769	0.51352715878664	0.464179359798393
Squaliformes	Squalidae	Squalus	Squalus_worlandensis	75.9663630729495	71.9745428229108	1.23045040731305	0.94442302293858
Squaliformes	Etmopteridae	Trigonognathus	Trigonognathus_virginiae	45.0799447586418	42.0529051607868	0.346307126459742	0.430287483733863
Squaliformes	Somniosidae	Zameus	Zameus_squamulosus	22.000490919924	0	1.77556409091323	0
